Python,Java,JavaScript,React,Node,Express,MongoDB,SQL,HTML,CSS,Git,DSA,Communication,Problem_Solving,Projects_Count,Internship_Count,Certification_Count,Interested_Domain,Career_Role
0.16,0.08,1.0,1.0,0.17,0.07,0.29,0.19,0.89,1.0,0.64,0.14,0.63,0.27,3,1,1,0,Frontend Developer
0.12,0.1,1.0,0.89,0.14,0.33,0.0,0.23,1.0,0.82,0.84,0.24,0.55,0.36,2,1,1,0,Frontend Developer
0.09,0.06,0.77,0.81,0.14,0.23,0.14,0.0,0.99,0.9,0.62,0.27,0.72,0.61,2,1,2,0,Frontend Developer
0.2,0.26,0.94,1.0,0.24,0.02,0.14,0.28,0.95,1.0,0.39,0.3,0.61,0.46,4,2,2,0,Frontend Developer
0.07,0.05,1.0,1.0,0.23,0.14,0.26,0.12,0.91,1.0,0.67,0.16,0.75,0.46,4,0,1,0,Frontend Developer
0.13,0.0,0.84,1.0,0.2,0.0,0.0,0.0,0.96,0.9,0.62,0.2,0.66,0.47,4,1,1,0,Frontend Developer
0.19,0.03,0.99,0.9,0.35,0.05,0.05,0.15,1.0,0.96,0.65,0.3,0.69,0.39,4,0,1,0,Frontend Developer
0.16,0.21,0.85,0.98,0.42,0.15,0.02,0.04,0.95,1.0,0.71,0.26,0.58,0.52,3,1,1,0,Frontend Developer
0.13,0.2,0.97,0.75,0.33,0.26,0.19,0.0,0.86,0.81,0.79,0.35,0.65,0.61,3,2,1,0,Frontend Developer
0.1,0.27,0.92,1.0,0.28,0.0,0.0,0.16,0.92,1.0,0.76,0.19,0.5,0.32,2,0,1,0,Frontend Developer
0.0,0.12,0.96,0.76,0.24,0.17,0.23,0.23,0.78,0.84,0.76,0.26,0.66,0.96,4,1,1,0,Frontend Developer
0.33,0.02,0.84,0.85,0.15,0.17,0.0,0.15,0.89,1.0,0.69,0.26,0.55,0.55,4,2,1,0,Frontend Developer
0.0,0.09,1.0,1.0,0.06,0.06,0.04,0.02,1.0,1.0,0.55,0.31,0.85,0.62,3,2,1,0,Frontend Developer
0.15,0.19,0.84,0.89,0.0,0.0,0.07,0.0,1.0,0.78,0.65,0.22,0.77,0.33,4,2,1,0,Frontend Developer
0.17,0.22,0.83,0.92,0.26,0.16,0.24,0.15,0.81,1.0,0.59,0.12,0.55,0.49,2,2,1,0,Frontend Developer
0.0,0.26,1.0,0.89,0.0,0.27,0.32,0.3,0.88,1.0,0.76,0.02,0.62,0.63,2,1,2,0,Frontend Developer
0.07,0.2,0.92,0.83,0.43,0.23,0.0,0.05,1.0,0.81,0.79,0.28,0.52,0.5,4,1,0,0,Frontend Developer
0.05,0.12,1.0,1.0,0.34,0.04,0.02,0.26,0.71,1.0,0.66,0.2,0.52,0.49,4,1,0,0,Frontend Developer
0.11,0.0,1.0,0.87,0.21,0.15,0.07,0.09,1.0,0.82,0.62,0.08,0.77,0.42,4,2,1,0,Frontend Developer
0.0,0.03,0.85,0.74,0.16,0.0,0.31,0.0,0.87,0.9,0.9,0.0,0.62,0.62,2,1,1,0,Frontend Developer
0.13,0.13,0.66,0.79,0.19,0.09,0.13,0.14,1.0,0.99,0.66,0.01,0.44,0.56,4,1,1,0,Frontend Developer
0.24,0.11,1.0,1.0,0.17,0.22,0.18,0.26,0.83,1.0,0.83,0.0,0.46,0.26,2,1,0,0,Frontend Developer
