html_css,javascript,react,python,database,cloud,networking,security,devops,data_science,ai_ml,dsa,career
0.95,0.84,0.86,0.45,0.18,0.18,0.26,0.18,0.05,0.15,0.05,0.35,Frontend Developer
0.92,0.66,0.63,0.24,0.1,0.23,0.01,0.0,0.25,0.08,0.11,0.26,Frontend Developer
0.85,0.86,0.68,0.34,0.14,0.17,0.04,0.29,0.1,0.0,0.18,0.28,Frontend Developer
0.92,0.65,0.67,0.32,0.27,0.22,0.09,0.07,0.0,0.03,0.05,0.51,Frontend Developer
0.93,0.67,0.83,0.26,0.13,0.26,0.2,0.19,0.02,0.07,0.13,0.5,Frontend Developer
0.85,0.83,0.69,0.18,0.28,0.34,0.09,0.2,0.14,0.04,0.14,0.55,Frontend Developer
0.9,1.0,0.54,0.38,0.21,0.17,0.11,0.0,0.08,0.14,0.25,0.35,Frontend Developer
0.82,0.8,0.89,0.33,0.15,0.25,0.11,0.2,0.03,0.07,0.06,0.25,Frontend Developer
0.93,0.88,0.8,0.28,0.06,0.16,0.07,0.02,0.08,0.14,0.29,0.42,Frontend Developer
0.93,0.84,0.61,0.3,0.21,0.45,0.08,0.13,0.1,0.0,0.21,0.48,Frontend Developer
0.98,0.76,0.94,0.16,0.26,0.42,0.0,0.04,0.11,0.05,0.0,0.41,Frontend Developer
0.79,0.9,0.71,0.45,0.12,0.17,0.18,0.0,0.12,0.23,0.0,0.42,Frontend Developer
0.93,0.93,0.68,0.17,0.25,0.23,0.13,0.13,0.03,0.12,0.13,0.33,Frontend Developer
1.0,0.9,0.68,0.37,0.1,0.28,0.22,0.02,0.2,0.14,0.18,0.59,Frontend Developer
0.88,0.77,0.71,0.22,0.19,0.23,0.13,0.18,0.1,0.25,0.07,0.67,Frontend Developer
0.96,0.76,0.69,0.35,0.18,0.27,0.15,0.09,0.02,0.0,0.06,0.49,Frontend Developer
0.92,0.73,0.82,0.34,0.11,0.22,0.11,0.0,0.14,0.16,0.21,0.51,Frontend Developer
